Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-03-30,83.195,0.9939,0.041,0.845,0.114,83.81,84.34,82.41,24506180,0.43842181210602266,0.09330808080808077
2015-03-31,82.215,0.9954,0.03,0.867,0.104,82.9,83.5,82.21,19705200,0.4640578719526086,0.17037859801017696
2015-04-01,81.665,-0.533,0.074,0.874,0.052,82.5,82.72,80.87,22028080,0.5042699724517907,0.15082644628099173
2015-04-02,81.555,0.9866,0.049,0.845,0.106,82.25,82.56,81.44,19631440,0.49326998556998547,0.12740750360750364
2015-04-06,82.44,0.9435,0.034,0.905,0.061,80.8,82.81,80.8,19008980,0.4393057559724227,0.1841249799583133
2015-04-07,82.32,0.6249,0.0,0.788,0.212,82.65,83.42,82.22,17442950,0.5,0.5
2015-04-08,82.275,0.9936,0.059,0.825,0.115,82.63,83.1,81.84,18936170,0.42195165945165924,0.19549422799422803
2015-04-09,82.17,0.9949,0.031,0.826,0.143,82.5,82.8,81.71,15902970,0.5010868020868021,0.2915772005772006
2015-04-10,82.04,-0.5994,0.224,0.776,0.0,82.21,82.61,81.91,12501090,0.0,0.0
2015-04-13,83.01,0.9928,0.033,0.89,0.077,81.93,83.94,81.92,26868830,0.49429803352675683,0.07675451321727914
2015-04-14,83.515,0.9915,0.024,0.9,0.075,83.17,83.69,82.44,19612620,0.43518642305406996,0.14999628639334525
2015-04-15,82.705,0.9953,0.017,0.891,0.092,83.55,83.66,82.27,22358670,0.41481730134272493,0.14660136473695795
2015-04-16,82.31,0.9964,0.021,0.882,0.097,82.47,83.07,82.15,13678800,0.4121184534419827,0.11160273958068075
2015-04-17,80.775,0.2708,0.078,0.863,0.059,81.48,82.11,80.37,24156000,0.4873350227008762,0.08073593073593074
2015-04-20,83.09,0.9934,0.018,0.854,0.128,81.54,83.15,81.24,28700450,0.38482224845861224,0.2372359963269055
2015-04-21,83.62,0.9964,0.041,0.832,0.127,84.0,84.49,83.54,26824310,0.40923113624726526,0.2066456616859843
2015-04-22,84.63,0.9916,0.045,0.842,0.113,84.32,84.74,83.65,43286780,0.45895967612634264,0.05382291165624498
2015-04-23,82.41,0.992,0.023,0.896,0.081,84.1,85.59,82.41,73607220,0.453030748401119,0.1604379331231183
2015-04-24,81.53,0.8512,0.054,0.884,0.062,82.77,82.94,81.48,29617390,0.4573025335320416,0.07973174366616992
2015-04-27,81.91,0.9941,0.048,0.853,0.099,81.87,82.93,81.63,25401050,0.4426802269268022,0.13172824131728245
2015-04-28,80.68,0.9983,0.051,0.805,0.143,81.83,81.9,80.23,23724520,0.42915007215007217,0.15849711399711397
2015-04-29,80.465,0.9973,0.048,0.832,0.119,80.01,81.39,79.52,26400340,0.3944332079577981,0.20005973079743578
2015-04-30,78.77,0.9982,0.067,0.794,0.139,80.01,80.96,78.32,28924470,0.41877447948876523,0.046259975851812574
2015-05-01,78.99,0.9949,0.02,0.868,0.112,79.24,79.76,78.11,22811310,0.4426751279024007,0.14407836481700118
